What,Where,When,How_Much
Savage Rose.,"[55.6680529, 12.5439823]",2000,320
The War On Drugs (us).,"[55.6711643, 12.6203919]",2000,450
The Minds Of 99.,"[55.6745289, 12.6003759]",2000,
Vinbar med tapas og live musik.,"['None', 'None']",2000,
Frede Fup.,"[55.6676766, 12.4400285]",2000,100
"Sangbar Æ,Ø&Å - November.","[55.6712453, 12.5908425]",2000,30
Mozzik.,"[55.7305364, 12.3522152]",2000,150
Pernille Bévort: Radio Bévort.,"[55.681945, 12.582381]",2000,285
Scandinavian Pink Floyd Project - Få billetter!,"[55.68181879999999, 12.4566722]",2000,295
Steven Wilson (uk) - Få Billetter.,"[55.6680529, 12.5439823]",2000,350
Pink Floyd Project - Wish You Were Here Tour.,"[55.6745289, 12.6003759]",2100,295
Baby In Vain (DK).,"[55.6680529, 12.5439823]",2100,165
Kajsa Vala - Musikcaféen.,"[55.67636659999999, 12.5747082]",2100,
Sebastian Klein.,"[None, None]",1100,165
Jacob Fischers Kvartet.,"[55.68181879999999, 12.4566722]",0000,
"Arild Kvartetten spiller Beethoven, LvB#2.","[55.6794587, 12.5862154]",0000,200
Søndagsbal med Rødovre Palmehaveorkester.,"[55.6826581, 12.4667842]",1400,50
Cool Sweetness Sextet.,"[55.6716512, 12.5900008]",1500,100
Koncert med Studentersangerne.,"['None', 'None']",1500,
Unge spiller klassisk - intim koncert.,"[55.686089, 12.533412]",1500,50
Koncert med OBG-Brass.,"[55.7650325, 12.4978003]",1500,
Koncert med Lee Trio (Nødebo Kultur).,"[55.780023, 12.480222]",1930,
The Steve Rothery Band.,"[55.6750768, 12.5793993]",2000,420
Kulturaften med Musikhøjskolen.,"[55.6807295, 12.5302891]",1700,
Gnoss.,"[55.7305364, 12.3522152]",1930,140
Moderne dansk aften.,"['None', 'None']",1930,90
Orgelkoncert: Martin Norddahl.,"[55.684364, 12.541787]",1930,
All Tvvins (IE).,"[55.6680687, 12.5444302]",2000,
Jam-session på Lipperts.,"[55.6517012, 12.3037462]",1800,
Bo Evers (50/50 koncert).,"['None', 'None']",1930,55
Joan Baez - Fare Thee Well.,"[55.6575405, 12.5905654]",2000,320
Ankerstjerne (DK).,"[55.6680529, 12.5439823]",2100,175
"Anne dorte michelsen - solo ""jeg vil huske"".","[55.5933194, 12.6720892]",1800,418
Svend Emmes egne viser og en aften om kærlighed.,"[55.7395721, 12.4933224]",1930,
King Gizzard &amp; The Lizard Wizard (aus).,"[55.677125, 12.5651939]",2100,
The Attic Sleepers.,"[55.67637149999999, 12.5747148]",2100,140
Erasure.,"[55.6252114, 12.5736741]",2000,450
Alberte Winding Band.,"[55.68181879999999, 12.4566722]",2000,
"Jes Holtsø, Tobias Trier & Morten Wittrock.","[55.7018511, 12.4980497]",2000,120
Marvelous Mosell.,"[55.6680529, 12.5439823]",2100,275
Sherzandum + support TBA.,"[55.6808557, 12.5331994]",2100,
Koncert med Jonas Breum og Brønshøj kirkes pigekor.,"[55.7058607, 12.4986346]",1500,
Blancmange Live + Artist Talk + Afterparty.,"[55.666846, 12.5762349]",1930,225
"Anne Dorte Michelsen, Solo.","['None', 'None']",2000,200
Jessie Ware.,"[55.6680529, 12.5439823]",2000,
The Chainsmokers: Euro Memories... Do Not Open Tour.,"[55.6252114, 12.5736741]",2000,
Dream Wife (UK).,"[55.6680687, 12.5444302]",2000,105
Lis Sørensen.,"[None, None]",2000,350
Carl Emil Petersen (SOLO).,"[55.65525909999999, 12.2956019]",2000,170
Pligten Kalder.,"[55.6865864, 12.4914135]",2030,180
Seth Walker (us).,"[55.6756788, 12.5735544]",2200,100
Erik Grip.,"[55.68181879999999, 12.4566722]",1400,
DR PigeKorets forår.,"[55.6766342, 12.5836015]",1930,
Søren Huss.,"[55.6575405, 12.5905654]",2000,245
First Aid Kit.,"[55.6680529, 12.5439823]",2000,
Alvvays (CA).,"[55.6680529, 12.5439823]",2000,
Big Daddy Wilson (US).,"[55.7018511, 12.4980497]",2000,140
Heaven Shall Burn.,"[55.677125, 12.5651939]",1900,300
Cophenhagen Saxophone Quartet.,"[55.6460586, 12.3076324]",1930,
Enghave Barok. 6. koncert i Lyngby Taarbæk Musikforening.,"[55.7650325, 12.4978003]",1930,130
"Køn, magt og kategorier i skandinaviske middelalderlige ballader v. Ingrid Åkesson.","[55.686089, 12.533412]",1930,
DR PigeKorets forår.,"[55.6766342, 12.5836015]",1930,100
Strube &amp; Repete.,"['None', 'None']",1930,125
Burhan G - Venteliste.,"[55.6680529, 12.5439823]",2000,300
Carnifex + support.,"[55.677125, 12.5651939]",2000,250
Veto - Få Billetter.,"[55.6680529, 12.5439823]",2000,200
Skar's Blues Band spiller i Farum Jazzklub.,"[55.81544, 12.402521]",2000,
Dansk Selskab For Russisk Musik.,"[55.686089, 12.533412]",2000,100
Django Django (UK).,"[55.6680529, 12.5439823]",2100,200
Göteborg Symfonikerne.,"[55.6575405, 12.5905654]",1930,60
Martin Brygmann med Band &amp; Danmarks Underholdningsorkester.,"[55.68111589999999, 12.5528412]",2000,
Steffen Jungersen - Rock &amp; Røverhistorier.,"['None', 'None']",2000,100
Ramslag Folkets Hus Spillefolk.,"[55.686089, 12.533412]",2000,30
Sangaften med fremtidens stjerner på MGK.,"[55.6787723, 12.5314573]",2000,
Souvenirs.,"[55.68181879999999, 12.4566722]",2000,130
Blondage.,"[None, None]",2000,175
Sonja Hald.,"[55.6467245, 12.5300743]",2100,70
Søs Fenger.,"[55.77217899999999, 12.560372]",1900,620
Tonight Alive.,"[55.677125, 12.5651939]",2000,245
Blues Beatles (BR).,"['None', 'None']",2000,175
Queen Machine.,"[55.68181879999999, 12.4566722]",2000,270
Det Åbne Hus spiller op til folkedans på Stades Krog 9.,"[55.7735008, 12.5004462]",2000,40
Dobbeltkoncert: Niels Skousen og Kristina Holgersen.,"[55.666846, 12.5762349]",2000,160
Andreas Bo med band - Akustisk koncert.,"[55.725283, 12.4391171]",2000,175
Sort Sol.,"[55.681116, 12.552841]",2000,455
Frank Carter &amp; The Rattlesnakes (UK).,"[55.6680529, 12.5439823]",2100,200
D'Angelo.,"[55.6575405, 12.5905654]",2100,495
Tom Misch (live) (uk) - Flyttet.,"[55.6680529, 12.5439823]",2100,175
1/2 12 Koncerter.,"[55.686089, 12.533412]",1130,90
Jazz Menu - Forår 2018.,"['None', 'None']",1300,110
Musikken fra Cirkus Summarum.,"[55.6575405, 12.5905654]",1300,140
Lakha Khan.,"[None, None]",1500,165
Koncert: Flamenco Requiem med Vokalgruppen Kolorit.,"['None', 'None']",1500,
Passionskoncert.,"[55.6817515, 12.5894416]",1600,85
